E
-0.743
-0.784
-0.711
-0.736
-0.699
-0.755
-0.65
-0.751
-0.694
-0.757
-0.472
-0.615
-0.015
0.596
0.235
0.092
0.282
0.344
0.377
0.42
0.308
-0.092
-0.382
-0.104
0.257
-0.069
0.1
-0.351
0.313
0.445
0.475
0.34
0.38
0.568
0.579
0.031
0.579
-0.067
0.087
0.493
-0.195
0.15
0.51
1.06
0.07
0.64
0.71
0.002
0.019
0.024
0.099
-0.016
-0.1
-0.084
-0.124
-0.81
-0.79
-0.75
-0.48
-0.58
-0.24
-0.192
-0.101
0.546
-0.054
0.018
0.07
0.09
0.08
0.14
0.17
-0.05
-0.05
-0.02
-0.648
-0.653
-0.666
-0.63
-0.328
-0.61
-0.38
-0.303
-0.472
-0.254
-0.176
-0.016
-0.744
-0.714
-0.588
-0.702
-0.709
-0.709
-0.7
-0.195
-0.215
-0.227
-0.09
0.048
0.114
0.15
0.16
0.12
-0.35
-0.426
-0.428
-0.68
0.12
0.03
0.134
0.03
0.086
-0.002
-0.149
-0.022
-0.192
0
0.238
-0.721
-0.653
-0.716
-1.001
-0.886
-0.933
-0.929
-0.859
-0.831
-0.921
-0.809
-0.876
-0.811
-0.864
-0.809
-0.814
-0.827
-0.833
-0.777
0.511
0.04
0.075
-0.289
-0.014
-0.312
